Date,SubDivision,GangId,OrderNumber,OperationNumber,TrackId,MegaWorkBlock,ShadowWorkBlock,SplitWorkBlock,WBMileFrom,WBMileTo,AnchorPattern,SpikePattern,CwrTerritory,DestressingMethod,ClosureType,NumberofInsulatedJoints,NumberofTransitionRails,NumberofCompromiseRails,FastenerTypeTie,PlateChangeOutRequired,RailType,TravelTimeDuringBlocks,ActualStartTime,ActualEndTime,NumberofTampers,ExpectedOutput,ConfidenceLevel,Version,workBlockPlannedMinutes
00:00.0,RIVERS,W40P0R02,NULL,310,1,Yes,Yes,Yes,0,0.109999999,Pattern 10,B,No,NONE,NULL,1,0,0,NA,Yes,New,0,NULL,NULL,NULL,1442,72,1,300
00:00.0,SANGUDO,W50P0R03,NULL,310,1,No,No,Yes,67.93000031,68.25,Pattern 10,A,Yes,JOINTED TRACK,NULL,0,0,0,NA,Yes,New,0,NULL,NULL,NULL,1719,72,1,360
00:00.0,EDSON,W50P0R05,NULL,310,1,Yes,Yes,Yes,67.61000061,69.09999847,Pattern 10,D,No,HEATERS,NULL,0,0,0,CLIP_RAIL,No,New,0,NULL,NULL,NULL,3832,72,1,600
00:00.0,EDSON,W50P0R05,NULL,310,1,Yes,Yes,Yes,67.61000061,69.09999847,Pattern 10,A,No,HEATERS,NULL,0,0,0,CLIP_RAIL,No,New,0,NULL,NULL,NULL,4019,72,1,600
00:00.0,EDSON,W50P0R06,NULL,310,1,Yes,Yes,Yes,53.90000153,54.36000061,Pattern 10,B,No,HEATERS,NULL,1,1,0,CLIP_RAIL,No,New,0,NULL,NULL,NULL,2473,72,1,480
00:00.0,WESTLOCK,W50P0R08,NULL,310,1,No,No,Yes,88.11000061,88.44999695,Pattern 10,A,No,HEATERS,NULL,0,0,0,NA,Yes,New,60,NULL,NULL,NULL,1954,72,1,480
00:00.0,WESTLOCK,W50P0R08,NULL,310,1,No,No,Yes,88.05999756,88.45999908,Pattern 10,A,No,HEATERS,NULL,0,0,0,NA,Yes,New,60,NULL,NULL,NULL,2956,72,1,480
00:00.0,EDSON,W50P0R06,NULL,310,1,Yes,Yes,Yes,67.68000031,87.90000153,Pattern 10,D,No,HEATERS,NULL,0,0,0,CLIP_RAIL,No,New,15,NULL,NULL,NULL,2457,72,1,480
00:00.0,EDSON,W50P0R02,NULL,310,1,Yes,Yes,Yes,109.5800018,121.8600006,Pattern 10,A,No,HEATERS,NULL,0,0,0,CLIP_RAIL,No,New,0,NULL,NULL,NULL,2264,72,1,360
00:00.0,RAINY,S70P0R01,NULL,310,1,No,No,Yes,143.8800049,144.0899963,Pattern 10,B,No,HEATERS,NULL,0,2,0,CLIP_RAIL,Yes,New,0,NULL,NULL,NULL,1128,72,1,300
00:00.0,TOGO,W40P0R03,NULL,310,1,No,No,Yes,60.99000168,61.33000183,Pattern 10,A,Yes,JOINTED TRACK,NULL,0,1,1,NA,No,New,60,NULL,NULL,NULL,1848,72,1,300
00:00.0,SANGUDO,W50P0R03,NULL,310,1,No,No,Yes,67.80000305,68.05000305,Pattern 10,A,Yes,JOINTED TRACK,NULL,0,0,1,NA,Yes,New,0,NULL,NULL,NULL,1815,72,1,360
00:00.0,SANGUDO,W50P0R03,NULL,310,1,No,No,Yes,68.05000305,68.33999634,Pattern 10,A,Yes,JOINTED TRACK,NULL,0,0,1,NA,Yes,New,0,NULL,NULL,NULL,1939,72,1,360
00:00.0,SANGUDO,W50P0R03,NULL,310,1,No,No,Yes,68.05000305,68.33999634,Pattern 10,A,Yes,JOINTED TRACK,NULL,0,0,1,NA,Yes,New,0,NULL,NULL,NULL,1939,72,1,360
00:00.0,RIVERS,W40P0R02,NULL,310,3,Yes,Yes,Yes,0,0.109999999,Pattern 10,B,No,NONE,NULL,1,0,0,NA,Yes,New,0,NULL,NULL,NULL,1442,72,1,300
