Date,SubDivision,GangId,OrderNumber,OperationNumber,TrackId,MegaWorkBlock,ShadowWorkBlock,SplitWorkBlock,TieType,WBMileFrom,WBMileTo,AnchorPattern,SpikePattern,FastenerTypeTie,TravelTimeDuringBlocks,ActualStartTime,ActualEndTime,TieNumberType,NumberofTampers,PadInsulatorType,ExpectedOutput,ConfidenceLevel,Version,workBlockPlannedMinutes,TieDensity
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,3.900000095,4.25,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,206.9250031,0.699999988,1,0,5345.71582
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,4.050000191,4.099999905,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,130.6900024,0.699999988,1,0,2400.013672
00:00.0,YALE,W50P0T03,707565622,410,PF50,No,No,No,WOOD,1,2.99000001,Pattern 6,D,NA,30,NULL,NULL,NA,0,NULL,412.0700073,0.699999988,1,420,252.2613068
00:00.0,YALE,W53T01TE,707565622,710,PF51,No,No,No,WOOD,0,0.449999988,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,487.6400146,0.699999988,1,0,5333.333496
00:00.0,SKEENA,W54T0200,707565906,410,SF73,No,No,No,WOOD,0.150000006,1,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,172.5099945,0.699999988,1,180,194.1176453
00:00.0,YALE,W53T01TE,707565622,710,PF51,No,No,No,WOOD,1.700000048,2.150000095,Pattern 6,D,NA,0,NULL,NULL,NA,0,NULL,452.125,0.699999988,1,0,3199.999756
00:00.0,YALE,W50P0T03,707565622,410,PF09,No,No,No,WOOD,0.01,1.049999952,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,431.2950134,0.699999988,1,300,483.6538696
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,3.799999952,4.340000153,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,149.2050018,0.699999988,1,0,5316.664551
00:00.0,YALE,W50P0T03,707565622,410,PF39,No,No,No,WOOD,0.100000001,0.610000014,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,760.7849731,0.699999988,1,300,1541.176514
00:00.0,YALE,W50P0T03,707565622,410,PF39,No,No,No,WOOD,0.100000001,0.610000014,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,760.7849731,0.699999988,1,300,1541.176514
00:00.0,YALE,W50P0T03,707565622,410,PF51,No,No,No,WOOD,0.100000001,1.600000024,Pattern 6,A,NA,30,NULL,NULL,NA,0,NULL,369.8299866,0.699999988,1,300,276.6666565
00:00.0,YALE,W50P0T03,707565622,410,PF13,No,No,No,WOOD,0.100000001,1.100000024,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,716.4099731,0.699999988,1,300,720
00:00.0,YALE,W50P0T03,707565622,410,PF13,No,No,No,WOOD,0.100000001,1.100000024,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,716.4099731,0.699999988,1,300,720
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,7.179999828,7.230000019,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,139.9649963,0.699999988,1,0,2599.98999
00:00.0,YALE,W53T02TJ,707565293,710,1,No,No,No,WOOD,7.199999809,7.289999962,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,353.3850098,0.699999988,1,0,5411.102051
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,7.230000019,7.320000172,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,227.0850067,0.699999988,1,0,2555.55127
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,7.199999809,7.75,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,149.2050018,0.699999988,1,0,5276.361816
00:00.0,YALE,W50P0T03,707565622,410,PF15,No,No,No,WOOD,0.01,1.019999981,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,287.8150024,0.699999988,1,300,281.1881104
00:00.0,YALE,W50P0T03,707565622,410,PF15,No,No,No,WOOD,0.01,1.019999981,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,287.8150024,0.699999988,1,300,281.1881104
00:00.0,YALE,W50P0T03,707565622,410,PF35,No,No,No,WOOD,0.01,0.709999979,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,740.6199951,0.699999988,1,300,1094.285767
00:00.0,CLEARWATER,W53T06TE,707565774,410,1,No,No,No,WOOD,107.9000015,107.9400024,Pattern 8,B,NA,0,NULL,NULL,NA,0,NULL,218.2556,0.699999988,1,0,0
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,8.5,8.649999619,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,402.6000061,0.699999988,1,0,5120.013184
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,8.300000191,8.449999809,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,402.6000061,0.699999988,1,0,5253.34668
00:00.0,CLEARWATER,W53T06TK,707565247,710,1,No,No,No,CONCRETE,5,5,Pattern 10,B,CLIP_RAIL,0,NULL,NULL,NA,0,NULL,4.258749962,0.699999988,1,0,0
00:00.0,ROSETOWN,W44T01TB,707565560,310,1,No,No,No,WOOD,45.5,46.63999939,Pattern 8,A,NA,0,NULL,NULL,NA,0,NULL,26.19000053,0.699999988,1,0,7.017547607
00:00.0,YALE,W53T01TA,707565622,410,PS25,No,No,No,WOOD,0.100000001,0.100000001,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,10.32999992,0.699999988,1,0,3168
00:00.0,YALE,W53T01TA,707565622,410,PS24,No,No,No,WOOD,0.01,0.01,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,9.449999809,0.699999988,1,0,1056
00:00.0,ROSETOWN,W44T01TB,707565560,310,1,No,No,No,WOOD,46.70000076,47.86999893,Pattern 8,A,NA,0,NULL,NULL,NA,0,NULL,26.33499908,0.699999988,1,0,7.69231987
00:00.0,CLEARWATER,W53T06TK,707565247,710,1,No,No,No,CONCRETE,5,5,Pattern 10,B,CLIP_RAIL,0,NULL,NULL,NA,0,NULL,4.258749962,0.699999988,1,0,0
00:00.0,SKEENA,W54T0200,707565906,410,1,No,No,No,WOOD,67.79000092,69,Pattern 8,A,NA,0,NULL,NULL,NA,0,NULL,163.1799927,0.699999988,1,180,133.8843994
00:00.0,YALE,W50P0T03,707565622,410,1,No,No,No,WOOD,0.100000001,1.100000024,Pattern 10,D,NA,40,NULL,NULL,NA,0,NULL,504.4299927,0.699999988,1,360,503
00:00.0,YALE,W50P0T03,707565622,410,1,No,No,No,WOOD,0.100000001,1.080000043,Pattern 10,D,NA,0,NULL,NULL,NA,0,NULL,298.5650024,0.699999988,1,360,309.1836548
00:00.0,SKEENA,W54T0200,707565906,410,SF19,No,No,No,WOOD,67.76999664,67.80000305,Pattern 8,A,NA,0,NULL,NULL,NA,0,NULL,145.8249969,0.699999988,1,180,4998.932129
00:00.0,BULKLEY,W54T04TD,707566872,410,1,No,No,No,CONCRETE,124.2900009,124.4000015,Pattern 8,B,CLIP_RAIL,0,NULL,NULL,NA,0,NULL,297.3099976,0.699999988,1,0,2709.075928
00:00.0,ROBSON,W51T01TL,707567522,710,1,No,No,No,CONCRETE,3.910000086,4.099999905,Pattern 8,B,CLIP_RAIL,0,NULL,NULL,NA,0,NULL,440.4100037,0.699999988,1,0,5263.163086
00:00.0,YALE,W53T0100,707569330,410,9999,No,No,No,WOOD,0.01,0.219999999,Pattern 6,A,NA,0,NULL,NULL,NA,0,NULL,266.4400024,0.699999988,1,1,1442.857178
00:00.0,CLEARWATER,W53T06TK,707565247,710,1,No,No,No,CONCRETE,131.2899933,132.3000031,Pattern 10,B,CLIP_RAIL,0,NULL,NULL,NA,0,NULL,134.2899933,0.699999988,1,0,5594.005371
00:00.0,CLEARWATER,W53T06TK,707565247,710,1,No,No,No,CONCRETE,131.2899933,132.3000031,Pattern 10,B,CLIP_RAIL,0,NULL,NULL,NA,0,NULL,134.2899933,0.699999988,1,0,5594.005371
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,8.140000343,8.220000267,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,201.6600037,0.699999988,1,0,2525.002441
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,8.199999809,8.31000042,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,391.980011,0.699999988,1,0,5245.425293
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,8.100000381,8.170000076,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,189.0700073,0.699999988,1,0,2685.726074
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,8.199999809,8.5,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,413.6000061,0.699999988,1,0,5249.996582
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,9.800000191,10.03999996,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,502.6600037,0.699999988,1,0,5195.838379
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,9.819999695,9.890000343,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,185.3099976,0.699999988,1,0,2614.261475
00:00.0,YALE,W53T02TJ,707565295,710,1,No,No,No,CONCRETE,14,14.18999958,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,456.7149963,0.699999988,1,0,5157.90625
00:00.0,YALE,W53T02TE,707565295,410,1,No,No,No,CONCRETE,9.890000343,9.949999809,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,317.8609924,0.699999988,1,0,0
